sample-id,source,dry-mass,quality-ng-ul,sample-num,clean,collect-date,source-year,collect-time,x-decimal-deg,y-decimal-deg
CONI-20828,Citrus,NA,19.6,1,n,8/6/2021,Citrus-1,20:46,28.81399576,-82.41838676
CONI-20831-1,Citrus,NA,7.28,1,n,7/21/2021,Citrus-1,21:00,28.79852831,-82.41054439
CONI-20831-2,Citrus,0.01,0.244,2,n,7/21/2021,Citrus-1,21:00,28.79852831,-82.41054439
CONI-20832,Citrus,0.03,0.362,1,n,7/23/2021,Citrus-1,20:46,28.77740506,-82.41794263
CONI-20833,Citrus,0.02,0.352,1,n,7/26/2021,Citrus-1,20:57,28.77503315,-82.41950848
CONI-20834,Citrus,0.05,0.494,1,y,7/26/2021,Citrus-1,20:57,28.77503315,-82.41950848
CONI-20835,Citrus,NA,1.11,1,n,7/29/2021,Citrus-1,20:54,28.82982901,-82.42058959
CONI-20836,Citrus,0,0.095,1,y,6/1/2022,Citrus-2,21:08,28.77280598,-82.41674347
CONI-20837,Citrus,0.01,0.237,1,y,6/10/2022,Citrus-2,20:58,28.80196568,-82.43716821
CONI-20838,Citrus,0.02,0.335,1,y,6/14/2022,Citrus-2,21:02,28.71187336,-82.41990366
CONI-20839,Citrus,0.03,0.755,1,y,6/17/2022,Citrus-2,22:35,28.77834421,-82.42046498
CONI-20840,Citrus,0.03,1.67,1,y,6/17/2022,Citrus-2,20:53,28.79293642,-82.4171078
CONI-20841,Citrus,0.02,2.61,1,y,6/17/2022,Citrus-2,20:53,28.79293642,-82.4171078
CONI-20842,Citrus,0.03,7.8,1,y,6/21/2022,Citrus-2,20:55,28.80368191,-82.435327
CONI-20844,Citrus,0.02,1.18,1,y,5/26/2022,Citrus-2,20:57,28.79852429,-82.39529906
CONI-20846,Citrus,0,0.179,1,y,6/7/2022,Citrus-2,20:45,28.83267163,-82.4197468
CONI-20847,Citrus,0.03,0.339,1,y,6/7/2022,Citrus-2,20:50,28.83267163,-82.4197468
CONI-20848,Citrus,NA,0.945,1,y,6/9/2022,Citrus-2,20:58,28.79976998,-82.41003859
CONI-20849,Citrus,NA,0.54,1,y,6/13/2022,Citrus-2,20:55,28.77755468,-82.41916362
CONI-20850-1,Citrus,NA,2.36,1,y,6/13/2022,Citrus-2,20:55,28.77755468,-82.41916362
CONI-20850-2,Citrus,NA,0.283,2,n,6/13/2022,Citrus-2,20:55,28.77755468,-82.41916362
CONI-20851-1,Citrus,NA,0.58,1,y,6/14/2022,Citrus-2,20:55,28.71329736,-82.41836685
CONI-20851-2,Citrus,NA,0.119,2,n,6/14/2022,Citrus-2,20:55,28.71329736,-82.41836685
